Dealer_Code,Dealer_Name,dealer_district,dealer_taluka,dealer_type,population,taluka_population,CS,Region,dealer_status,market_potential,Apr_2223_sales,May_2223_sales,Jun_2223_sales,Jul_2223_sales,Aug_2223_sales,Sep_2223_sales,Oct_2223_sales,Nov_2223_sales,Dec_2223_sales,Jan_2223_sales,Feb_2223_sales,Mar_2223_sales,Apr_2324_sales,May_2324_sales,Jun_2324_sales,Jul_2324_sales,Aug_2324_sales,Sep_2324_sales,Oct_2324_sales,Nov_2324_sales,Dec_2324_sales,Jan_2324_sales,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2425_sales,Mar_2425_sales,Apr_2223_Target,May_2223_Target,Jun_2223_Target,Jul_2223_Target,Aug_2223_Target,Sep_2223_Target,Oct_2223_Target,Nov_2223_Target,Dec_2223_Target,Jan_2223_Target,Feb_2223_Target,Mar_2223_Target,Apr_2324_Target,May_2324_Target,Jun_2324_Target,Jul_2324_Target,Aug_2324_Target,Sep_2324_Target,Oct_2324_Target,Nov_2324_Target,Dec_2324_Target,Jan_2324_Target,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Feb_2425_Target,Mar_2425_Target,Apr_2223_counter,May_2223_counter,Jun_2223_counter,Jul_2223_counter,Aug_2223_counter,Sep_2223_counter,Oct_2223_counter,Nov_2223_counter,Dec_2223_counter,Jan_2223_counter,Feb_2223_counter,Mar_2223_counter,Apr_2324_counter,May_2324_counter,Jun_2324_counter,Jul_2324_counter,Aug_2324_counter,Sep_2324_counter,Oct_2324_counter,Nov_2324_counter,Dec_2324_counter,Jan_2324_counter,Feb_2324_counter,Mar_2324_counter
SIPA001,,Anantapur,Anantapur,Non-Exclusive,6321948.0,127019.0,945.0,,,,278.0,265.0,147.0,192.0,257.0,258.0,0.0,256.0,0.0,315.0,301.0,323.0,0.0,56.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,250.0,250.0,250.0,250.0,250.0,250.0,250.0,264.0,264.0,264.0,264.0,280.0,270.0,330.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,92.1456604,53.76922989,46.01446152,28.34822083,23.50383949,1.0,32.85155869,44.86389923,36.94231033,24.7903595,36.34738922,59.45743942,1136.0,1037.0,981.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
SIPA006,Sri Vigneswara Traders,Anantapur,Hindupur,Non-Exclusive,6321948.0,51861.0,141.75,AP,Active,682.5,93.0,91.0,101.0,102.0,82.0,101.0,30.0,75.0,21.0,64.0,62.0,82.0,50.0,90.0,100.0,101.0,93.0,62.0,81.0,68.0,20.0,0.0,0.0,0.0,31.200000000000003,0.0,0.0,29.94,0.0,0.0,49.78999999999999,54.89,51.620000000000005,52.540000000000006,50.93999999999999,102.18,90.0,90.0,100.0,100.0,80.0,100.0,100.0,103.0,103.0,103.0,103.0,140.0,100.0,90.0,100.0,110.0,110.0,110.0,110.0,110.0,150.0,120.0,100.0,0.0,0.0,90.0,90.0,90.0,65.0,65.0,50.0,50.0,50.0,50.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,42.90570068,52.62294006,79.0,128.0,146.0,69.0,150.0,66.0,106.0,59.0,248.0,91.0,84.0,135.0
SIPA008,K.K.Traders,Anantapur,Kadiri,Non-Exclusive,6321948.0,35944.0,45.15,AP,Active,231.0,24.0,33.0,35.0,24.0,25.0,26.0,25.0,37.0,25.0,24.0,25.0,25.0,25.0,48.0,36.0,36.0,50.0,35.0,36.0,35.0,37.0,21.0,46.0,24.0,24.83,25.43,25.23,25.55,45.89,40.46,25.66,40.7,32.69,44.82,10.02,25.12,35.0,25.0,30.0,25.0,25.0,25.0,25.0,34.0,34.0,34.0,34.0,35.0,30.0,36.0,35.0,35.0,35.0,35.0,35.0,35.0,50.0,40.0,40.0,25.0,30.0,30.0,30.0,30.0,40.0,40.0,50.0,50.0,50.0,30.0,35.0,35.0,0.0,0.0,11.13138962,4.172790051,15.2714901,1.0,8.537699699,17.48263931,19.36314964,19.36564064,0.0,46.2282486,62.0,54.0,101.0,77.0,76.0,76.0,79.0,71.0,82.0,56.0,48.0,43.0
SIPA010,Sri Jayanthi Iron Mart,Anantapur,Rayadurg,Non-Exclusive,6321948.0,40942.0,55.650000000000006,AP,Active,189.0,21.0,20.0,20.0,20.0,20.0,20.0,21.0,25.0,0.0,45.0,21.0,26.0,25.0,41.0,55.0,30.0,21.0,19.0,25.0,30.0,30.0,0.0,15.0,0.0,30.01,0.0,19.48,9.73,0.0,27.17,15.590000000000002,9.04,20.300000000000004,0.0,9.82,10.36,20.0,20.0,20.0,20.0,20.0,20.0,20.0,26.0,26.0,26.0,26.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,25.0,30.0,30.0,25.0,25.0,20.0,20.0,24.0,15.0,20.0,20.0,45.94971848,53.3675499,50.60654831,38.20441818,48.43635178,1.0,43.41374969,47.69776917,40.83916855,50.76411819,46.8871994,51.92737961,71.0,72.0,73.0,65.0,61.0,59.0,64.0,46.0,68.0,44.0,46.0,53.0
SIPA013,Srinivasa Iron Company,Anantapur,Tadipatri,Non-Exclusive,6321948.0,,178.5,AP,Active,315.0,57.0,62.0,40.0,61.0,42.0,38.0,62.0,45.0,47.0,70.0,66.0,63.0,22.0,78.0,73.0,76.0,76.0,50.0,50.0,60.0,26.0,30.0,31.0,30.0,52.63,22.07,25.08,20.15,44.35,56.41,0.0,30.66,19.12,19.8,32.44,31.560000000000002,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0,75.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,60.0,90.0,60.0,60.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,30.0,25.0,25.0,107.4395218,67.55206299,46.95449066,70.6776123,67.87502289,1.0,72.10272217,57.07682037,64.12615967,75.80449677,77.13349915,267.3259583,233.0,228.0,223.0,233.0,208.0,192.0,202.0,209.0,174.0,199.0,180.0,170.0
SIPA015,Venkateshwara Hardware,Chittoor,Chittoor,Exclusive,6588204.0,59060.0,1.05,AP,Active,735.0,81.0,92.0,61.0,64.0,33.0,60.0,51.0,51.0,60.0,45.0,45.0,50.0,21.0,62.0,25.0,31.0,92.0,50.0,54.0,44.0,20.0,11.0,0.0,0.0,0.0,0.0,25.48,19.06,39.34,64.65,49.93,52.37,51.7,10.14,45.440000000000005,59.190000000000005,90.0,90.0,75.0,65.0,60.0,60.0,50.0,76.0,76.0,76.0,76.0,50.0,55.0,60.0,50.0,50.0,50.0,40.0,40.0,40.0,60.0,50.0,40.0,0.0,0.0,0.0,15.0,25.0,40.0,40.0,50.0,50.0,50.0,35.0,35.0,40.0,138.6428375,93.96073151,114.4686432,106.4691925,65.1886673,1.0,80.36118317,102.4101791,74.64251709,69.96652985,84.91519165,43.80667114,27.0,49.0,20.0,31.0,104.0,52.0,40.0,41.0,70.0,32.0,8.0,1.0
SIPA017,Hari Hara Steels & Cements,Chittoor,Madanapally,Non-Exclusive,6588204.0,97284.0,71.4,AP,Active,682.5,41.0,43.0,41.0,19.0,41.0,41.0,41.0,41.0,0.0,30.0,9.0,41.0,0.0,46.0,39.0,26.0,26.0,26.0,5.0,40.0,21.0,0.0,30.0,34.0,24.980000000000004,29.37,15.259999999999998,11.85,29.98,30.22,0.0,19.960000000000004,20.36,17.840000000000007,16.179999999999993,34.51,40.0,40.0,40.0,40.0,40.0,40.0,40.0,47.0,47.0,47.0,47.0,63.0,45.0,48.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,30.0,30.0,33.0,33.0,58.34449005,20.87870026,39.90433884,57.01103973,15.48468971,1.0,20.50519943,45.98210144,15.00564003,35.51305008,19.20759964,40.11820984,46.0,64.0,89.0,70.0,81.0,52.0,44.0,84.0,54.0,43.0,64.0,68.0
SIPA018,Hari Hara Enterprises,Chittoor,Madanapally,Exclusive,6588204.0,97284.0,38.85,AP,Active,682.5,45.0,40.0,38.0,40.0,47.0,40.0,40.0,0.0,0.0,41.0,41.0,41.0,43.0,40.0,10.0,49.0,49.0,0.0,48.0,5.0,50.0,21.0,15.0,33.0,36.03,14.99,32.67,30.36,15.470000000000002,31.55,29.86,0.0,14.06,29.74,29.96,30.19,40.0,40.0,40.0,40.0,40.0,40.0,40.0,52.0,52.0,52.0,52.0,61.0,45.0,48.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,25.0,30.0,35.0,30.0,30.0,30.0,30.0,35.0,35.0,30.0,30.0,30.0,30.0,62.66505814,67.49468994,56.69675064,55.07389069,67.07524872,1.0,66.27889252,69.7276001,41.37496185,44.98973083,39.5409584,60.6006813,45.0,52.0,20.0,53.0,50.0,18.0,54.0,27.0,16.0,27.0,24.0,37.0
SIPA019,IKS Agencies,Chittoor,Nagari,Exclusive,6588204.0,33899.0,12.6,AP,Active,210.0,75.0,76.0,62.0,60.0,61.0,60.0,87.0,50.0,60.0,21.0,46.0,61.0,50.0,50.0,20.0,61.0,61.0,19.0,20.0,56.0,21.0,16.0,20.0,31.0,61.31,20.189999999999998,20.51,45.5,41.09,25.17,90.67,17.85,20.08,32.04,40.18,109.83999999999999,65.0,60.0,60.0,60.0,60.0,60.0,60.0,86.0,86.0,86.0,86.0,70.0,60.0,70.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0,40.0,40.0,25.0,30.0,40.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,0.0,0.0,0.0,0.282840014,4.63740015,1.0,8.410499573,1.164299965,5.804999828,34.87200165,20.60814095,71.01429749,96.0,9.0,48.0,38.0,71.0,40.0,28.0,12.0,60.0,19.0,15.0,12.0
SIPA020,Bismilla Traders,Chittoor,Palamner,Exclusive,6588204.0,30307.0,16.8,AP,Active,210.0,45.0,26.0,27.0,44.0,50.0,46.0,50.0,56.0,29.0,58.0,45.0,43.0,41.0,41.0,39.0,26.0,0.0,41.0,20.0,33.0,0.0,25.0,20.0,40.0,40.43000000000001,39.52,14.970000000000002,20.18,30.78,30.0,40.47,30.76,30.26,30.04,29.92,30.209999999999997,20.0,25.0,25.0,25.0,25.0,30.0,30.0,51.0,51.0,51.0,51.0,50.0,40.0,48.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0,20.0,30.0,30.0,30.0,30.0,89.12011719,32.56373978,43.46977997,27.91428947,78.16811371,1.0,44.46183014,66.80454254,8.470789909,85.99318695,35.50498962,37.77537918,41.0,19.0,41.0,24.0,15.0,43.0,24.0,6.0,16.0,12.0,32.0,16.0
