,Dealer_Code,Dealer_Name,dealer_district,dealer_type,dealer_taluka,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target_R,Category_Overall,NORM_counter_market_ratio,NORM_sales_by_counter_3M,AVG_SALES-N,MarketSizePer1000_N,Code,Dealer Name,CS,AP,MP,Status,MPA,SOB,AP_normalized,Score,Tier,Incentive_per_Ton_linear,Incentive_per_Ton_exponential,Final_Incentive,Perfomance_Bonus,Predicted_Incentive
0,SIPA006,Sri Vigneswara Traders,Anantapur,Non-Exclusive,Hindupur,0,0,31,0,0,30,0,0,50,55,52,53,100,0,0,90,90,90,65,65,50,50,50,50,LLHHHH,NNNAAA,Moderate Achievement,60,Emerging Performer,1.0,4.988610840222903e-06,0.0,,SIPA006,Sri Vigneswara Traders,120.6,10.0,300.0,Non-Exclusive,40.199999999999996,8.291873963515755,4.225352112676056,12.233586060308784,Tier 5,1333.0,952.0,952.0,0.0,57120.0
1,SIPA008,K.K.Traders,Anantapur,Non-Exclusive,Kadiri,46,24,25,25,25,26,46,40,26,41,33,45,40,25,30,30,30,30,40,40,50,50,50,30,HHLHLH,AANNNA,Moderate Achievement,45,Emerging Performer,0.0002194099306727867,0.0032857142955479792,0.17355893890033908,0.033277335800064964,SIPA008,K.K.Traders,62.9,31.0,180.0,Non-Exclusive,34.94444444444444,49.2845786963434,14.084507042253522,25.296508853509682,Tier 2,1833.0,1611.0,1611.0,0.0,72500.0
2,SIPA010,Sri Jayanthi Iron Mart,Anantapur,Non-Exclusive,Rayadurg,15,0,30,0,19,10,0,27,16,9,20,0,30,25,25,25,30,30,25,25,20,20,24,15,LHHLHL,NANNNN,Low Achievement,25,Fluctuating Performer,0.00020645991292647087,0.005884848823476615,0.19132703942557008,0.010564233587322207,SIPA010,Sri Jayanthi Iron Mart,53.4,14.0,180.0,Non-Exclusive,29.666666666666664,26.217228464419478,6.103286384976526,14.838750857203145,Tier 4,1500.0,1110.0,1110.0,0.0,27750.0
3,SIPA013,Srinivasa Iron Company,Anantapur,Non-Exclusive,Tadipatri,31,30,53,22,25,20,44,56,0,31,19,20,60,45,50,50,50,50,50,50,50,50,50,30,HHLHLL,NANNNN,Low Achievement,30,Fluctuating Performer,0.0003112111675855588,0.00013234727920093342,0.0599195532211954,0.008451386869857767,SIPA013,Srinivasa Iron Company,189.0,37.0,250.0,Non-Exclusive,75.6,19.576719576719576,16.901408450704224,29.17618898576645,Tier 1,2000.0,2000.0,2000.0,0.0,60000.0
4,SIPA015,Venkateshwara Hardware,Chittoor,Exclusive,Chittoor,0,0,0,0,25,19,39,65,50,52,52,10,40,0,0,0,15,25,40,40,50,50,50,35,HHHHHL,NANAAN,Moderate Achievement,45,Emerging Performer,0.0005992771178980506,0.0006984420545490976,0.14156306096669105,0.014789927022251095,SIPA015,Venkateshwara Hardware,204.7,25.0,650.0,Exclusive,31.49230769230769,12.212994626282365,11.267605633802818,15.501623843999703,Tier 4,1500.0,1110.0,1110.0,0.0,49950.0
5,SIPA017,Hari Hara Steels & Cements,Chittoor,Non-Exclusive,Madanapally,30,34,25,29,15,12,30,30,0,20,20,18,30,25,30,30,30,30,30,30,35,35,30,30,HHLHHL,NANNNN,Low Achievement,25,Emerging Performer,1.1413458497803977e-06,0.0046883076171844,0.22283259091815705,0.03442409210438423,SIPA017,Hari Hara Steels & Cements,59.4,24.0,650.0,Non-Exclusive,9.138461538461538,40.4040404040404,10.7981220657277,16.38737362793701,Tier 4,1500.0,1110.0,1110.0,0.0,27750.0
6,SIPA018,Hari Hara Enterprises,Chittoor,Exclusive,Madanapally,15,33,36,15,33,30,15,32,30,0,14,30,40,25,30,35,30,30,30,30,35,35,30,30,LHHLLH,NANNNN,Low Achievement,30,Fluctuating Performer,0.00011033378119810374,0.001975892287464703,0.09836447044744367,0.03188976957130448,SIPA018,Hari Hara Enterprises,30.8,27.0,650.0,Exclusive,4.7384615384615385,87.66233766233766,12.206572769953052,25.80410350213167,Tier 2,1833.0,1611.0,1611.0,0.0,48330.0
7,SIPA019,IKS Agencies,Chittoor,Exclusive,Nagari,20,31,61,20,21,46,41,25,91,18,20,32,40,25,30,40,45,50,50,50,50,50,50,40,HLHLLH,NNNNNN,No Achievement,25,Fluctuating Performer,5.986571203817581e-05,0.006553824134267262,0.10029253374110764,0.03188976957130448,SIPA019,Iks Agencies,24.4,36.0,200.0,Exclusive,12.2,100.0,16.431924882629108,32.29915492957747,Tier 1,2000.0,2000.0,2000.0,0.0,50000.0
8,SIPA020,Bismilla Traders,Chittoor,Exclusive,Palamner,20,40,40,40,15,20,31,30,40,31,30,30,30,30,30,30,30,30,30,30,35,20,30,30,HLHHHL,AAAAAA,High Achievement,40,Consistently Strong Performer,6.312171650010664e-05,0.013375821057234382,0.14689155198014314,0.009080866773586764,SIPA020,Bismilla Traders,17.6,29.0,200.0,Exclusive,8.8,100.0,13.145539906103288,29.647323943661974,Tier 1,2000.0,2000.0,2000.0,0.0,80000.0
9,SIPA021,Sri Vasavi Hardware,Chittoor,Non-Exclusive,Piler,30,21,0,0,0,0,29,20,27,0,25,0,30,15,20,20,25,25,18,18,20,20,24,12,HHHLHL,AAANAN,Moderate Achievement,30,Consistently Strong Performer,8.428574550265707e-05,0.009613271222283157,0.15982148793298315,0.009080866773586764,SIPA021,Sri Vasavi Hardware,45.5,8.0,150.0,Non-Exclusive,30.333333333333336,17.582417582417584,3.286384976525822,11.554981169065677,Tier 5,1333.0,952.0,952.0,0.0,28560.0
