Dealer_Code,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target_R,Percentage_PT_Dist,Category_Overall
SIPA006,0,0,31,0,0,30,0,0,50,55,52,53,100,0,0,90,90,90,65,65,50,50,50,50,LLHHHH,NNNAAA,Moderate Achievement,60,0.004971002485501243,Emerging Performer
SIPA008,46,24,25,25,25,26,46,40,26,41,33,45,40,25,30,30,30,30,40,40,50,50,50,30,HHLHLH,AANNNA,Moderate Achievement,45,0.003728251864125932,Emerging Performer
SIPA010,15,0,30,0,19,10,0,27,16,9,20,0,30,25,25,25,30,30,25,25,20,20,24,15,LHHLHL,NANNNN,Low Achievement,25,0.002071251035625518,Fluctuating Performer
SIPA013,31,30,53,22,25,20,44,56,0,31,19,20,60,45,50,50,50,50,50,50,50,50,50,30,HHLHLL,NANNNN,Low Achievement,30,0.0024855012427506215,Fluctuating Performer
SIPA015,0,0,0,0,25,19,39,65,50,52,52,10,40,0,0,0,15,25,40,40,50,50,50,35,HHHHHL,NANAAN,Moderate Achievement,45,0.003728251864125932,Emerging Performer
SIPA017,30,34,25,29,15,12,30,30,0,20,20,18,30,25,30,30,30,30,30,30,35,35,30,30,HHLHHL,NANNNN,Low Achievement,25,0.002071251035625518,Emerging Performer
SIPA018,15,33,36,15,33,30,15,32,30,0,14,30,40,25,30,35,30,30,30,30,35,35,30,30,LHHLLH,NANNNN,Low Achievement,30,0.0024855012427506215,Fluctuating Performer
SIPA019,20,31,61,20,21,46,41,25,91,18,20,32,40,25,30,40,45,50,50,50,50,50,50,40,HLHLLH,NNNNNN,No Achievement,25,0.002071251035625518,Fluctuating Performer
SIPA020,20,40,40,40,15,20,31,30,40,31,30,30,30,30,30,30,30,30,30,30,35,20,30,30,HLHHHL,AAAAAA,High Achievement,40,0.0033140016570008283,Consistently Strong Performer
SIPA021,30,21,0,0,0,0,29,20,27,0,25,0,30,15,20,20,25,25,18,18,20,20,24,12,HHHLHL,AAANAN,Moderate Achievement,30,0.0024855012427506215,Consistently Strong Performer
SIPA023,32,34,20,25,24,32,20,42,36,25,20,10,40,25,30,30,30,30,30,30,35,35,30,30,LHHLLL,NAANNN,Low Achievement,30,0.0024855012427506215,Consistently Weak Performer
SIPA024,15,0,38,0,10,0,25,25,0,21,12,14,30,25,25,25,30,30,25,25,20,20,25,15,HHLHLH,AANANN,Moderate Achievement,20,0.0016570008285004142,Emerging Performer
SIPA025,49,55,75,25,25,41,63,60,45,36,12,30,50,45,50,50,60,60,60,60,50,35,50,40,HHLLLL,ANNANN,Low Achievement,30,0.0024855012427506215,Consistently Weak Performer
SIPA026,121,229,173,52,137,107,132,192,221,158,0,55,150,150,170,200,150,130,210,210,200,110,150,30,LHHHLL,NNAANA,Moderate Achievement,155,0.01284175642087821,Fluctuating Performer
SIPA028,0,0,32,0,0,0,15,0,23,0,17,24,30,30,30,30,20,20,25,25,20,20,25,12,HLHLHH,NNANNA,Low Achievement,25,0.002071251035625518,Emerging Performer
SIPA030,77,101,86,25,29,48,81,79,60,53,63,60,75,75,75,75,80,80,80,80,50,50,75,60,HHHLHL,ANAANA,Moderate Achievement,65,0.005385252692626346,Consistently Strong Performer
SIPA031,146,149,175,100,145,86,137,136,108,112,51,79,180,130,170,170,190,175,200,200,200,110,150,130,HHLLLL,NNNANN,Low Achievement,85,0.007042253521126761,Consistently Weak Performer
SIPA032,100,104,118,90,31,27,96,121,115,119,91,110,150,130,130,130,150,150,130,130,110,110,120,120,HHHHHH,NNAANN,Low Achievement,110,0.009113504556752278,Emerging Performer
SIPA035,25,31,39,11,25,13,25,11,24,37,26,16,30,30,30,35,35,35,30,30,35,35,30,20,HLHHHL,NNNANN,Low Achievement,30,0.0024855012427506215,Emerging Performer
SIPA036,21,0,29,22,20,0,0,0,0,12,12,12,30,15,25,20,20,20,20,20,20,20,24,12,LLLHHH,NNNNNN,No Achievement,15,0.0012427506213753107,Declining Performer
SIPA037,107,110,115,92,89,71,101,31,117,95,71,50,130,95,120,120,150,150,150,150,110,110,125,100,HLHHLL,NNANNN,Low Achievement,75,0.006213753106876553,Fluctuating Performer
SIPA039,52,45,48,39,41,31,58,61,46,25,65,25,50,50,50,50,55,55,60,60,50,50,75,50,HHLLHL,NANNNN,Low Achievement,45,0.003728251864125932,Fluctuating Performer
SIPA040,25,77,51,24,50,9,72,75,51,29,50,12,65,60,60,75,70,60,70,70,50,50,60,50,HHHLHL,AAANNN,Moderate Achievement,35,0.002899751449875725,Emerging Performer
SIPA043,33,35,20,36,10,20,31,31,4,30,12,8,40,35,35,35,35,30,35,35,35,35,30,20,HHLHLL,NNNNNN,No Achievement,25,0.002071251035625518,Fluctuating Performer
SIPA044,0,0,53,81,0,0,73,92,0,63,31,67,70,70,70,60,90,60,60,60,60,60,60,45,HHLHLH,AANANA,Moderate Achievement,60,0.004971002485501243,Consistently Strong Performer
SIPA054,0,0,0,0,0,0,0,0,20,0,12,15,20,10,10,10,10,5,10,10,10,10,12,12,HHHLHH,NNNNNN,No Achievement,0,0.0,Emerging Performer
SIPA057,0,14,14,0,11,21,24,20,0,20,0,0,20,12,12,15,20,24,20,20,20,20,24,12,HHLHLL,AANANN,Moderate Achievement,25,0.002071251035625518,Fluctuating Performer
SIPA058,13,26,14,12,25,12,30,12,12,12,12,12,25,25,24,24,24,24,30,30,20,20,24,20,HLLLLL,NNNNNN,No Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA061,13,12,12,13,13,11,14,17,0,10,12,0,12,12,12,15,20,12,15,15,10,10,12,12,HHLLHL,NANAAN,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA064,0,13,26,0,0,10,0,12,0,12,0,12,20,12,12,15,15,15,15,15,10,10,12,12,LHLHLH,NNNANA,Low Achievement,15,0.0012427506213753107,Fluctuating Performer
SIPA066,20,36,32,25,31,15,38,25,28,36,38,24,30,20,24,25,30,30,34,34,20,20,35,35,HLHHHL,ANAAAN,Moderate Achievement,40,0.0033140016570008283,Consistently Strong Performer
SIPA073,30,45,49,24,35,0,21,21,35,13,13,12,40,35,35,50,60,50,45,45,35,35,35,30,LLHLLL,NNANNN,Low Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA077,0,0,21,14,31,0,26,27,27,41,25,24,30,15,15,15,30,30,22,22,20,20,24,25,HHHHLL,AAAAAN,High Achievement,40,0.0033140016570008283,Consistently Strong Performer
SIPA079,39,0,31,25,22,0,25,25,27,35,38,48,30,20,24,24,24,25,22,22,20,20,24,25,HHHHHH,AAAAAA,High Achievement,50,0.004142502071251036,Consistently Strong Performer
SIPA081,25,24,28,13,12,13,25,13,12,12,16,12,25,25,25,25,30,24,30,30,20,20,24,20,LLLLHL,NNNNNN,No Achievement,15,0.0012427506213753107,Consistently Weak Performer
SIPA086,0,15,15,11,0,0,0,13,12,12,-1,0,12,10,10,15,20,20,10,10,10,10,12,12,LHHHLL,NAAANN,Moderate Achievement,15,0.0012427506213753107,Momentum Gainer
SIPA088,13,0,0,12,0,14,5,15,13,12,0,12,20,15,15,10,15,15,15,15,10,10,12,12,LHHHLH,NAAANN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPA094,81,159,210,151,139,131,134,205,171,150,154,72,100,90,100,130,200,150,150,150,200,110,150,150,LHHLLL,NANAAN,Moderate Achievement,135,0.011184755592377795,Fluctuating Performer
SIPA101,12,16,12,12,25,12,0,22,20,12,14,0,12,15,15,20,20,25,15,15,10,10,15,15,LHHLLL,NAAANN,Moderate Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA102,23,31,21,29,0,26,12,20,25,12,21,15,30,30,30,30,30,30,30,30,20,20,24,15,LHHLHL,NNANNN,Low Achievement,20,0.0016570008285004142,Fluctuating Performer
SIPA103,24,27,0,29,0,0,19,22,0,20,22,0,30,25,25,30,30,30,30,30,35,20,24,15,HHLHHL,NNNANN,Low Achievement,25,0.002071251035625518,Emerging Performer
SIPA104,11,10,0,8,0,0,12,0,12,11,10,0,12,10,12,12,12,12,10,10,10,10,12,12,HLHHHL,ANAANN,Moderate Achievement,15,0.0012427506213753107,Emerging Performer
SIPA106,114,152,93,160,35,31,0,0,0,106,106,0,200,140,150,170,160,160,160,160,200,35,80,80,LLLHHL,NNNAAN,Low Achievement,110,0.009113504556752278,Consistently Weak Performer
SIPA107,44,92,90,103,58,82,78,66,104,90,92,59,100,80,80,100,100,100,100,100,110,110,110,105,HLHHHL,NNNNNN,No Achievement,80,0.006628003314001657,Emerging Performer
SIPA108,72,61,58,102,68,50,90,66,109,28,101,59,100,100,100,100,100,100,100,100,110,110,110,80,HLHLHL,NNNNNN,No Achievement,65,0.005385252692626346,Fluctuating Performer
SIPA109,30,27,30,31,24,0,0,34,0,0,25,25,30,30,30,30,30,30,30,30,35,20,24,15,LHLLHH,NANNAA,Moderate Achievement,35,0.002899751449875725,Fluctuating Performer
SIPA112,29,49,28,33,31,55,30,42,0,27,25,28,30,35,40,35,40,40,40,40,50,50,35,30,LHLLLL,NANNNN,Low Achievement,30,0.0024855012427506215,Consistently Weak Performer
