Code,Dealer Name,CS,AP,MP,Status
SIPT014,Jairaj Steel Distributors,45.9,94,3000,Non-Exclusive
SIPT031,Srinivasa Steel Traders (H),333.4,50,2500,Non-Exclusive
SIPT036,Nagarjuna Steel Suppliers,16.6,2,300,Non-Exclusive
SIPT044,Mahalaxmi Steels,74.5,35,250,Exclusive
SIPT047,Mallikarjuna Steel Traders,42.6,79,600,Non-Exclusive
SIPT159,Swastik Vishaka Steel Pvt Ltd.,440.7,28,150,Non-Exclusive
SIPT207,Swastik Steel Udyog,16.9,7,300,Non-Exclusive
SIPT222,Sri Vyshnavi Steel Traders,11.6,5,600,Non-Exclusive
SIPT264,Sri Ganesh Steel And Cements Kompally,31,18,300,Non-Exclusive
SIPT295,Sree Venkata Sai Steel Traders,18.4,15,1500,Non-Exclusive
SIPT306,Nagarjuna Steel Mart,16.6,42,775,Non-Exclusive
SIPT308,Sri Ganesh Steel Traders,31,15,1200,Non-Exclusive
SIPT340,Sri Sai Tirumala Steel Traders,77.7,24,500,Non-Exclusive
SIPT364,Sri Jagadamba Steel Traders,12,10,500,Non-Exclusive
SIPT370,Sai Ram Steels,26.1,73,775,Exclusive
SIPT371,Sai Ram Steel Traders,26.1,12,1200,Non-Exclusive
SIPT381,Venkateshwara Steel Traders,102.8,18,525,Non-Exclusive
SIPT387,Sri Sadhana Steels,52.9,5,600,Non-Exclusive
SIPT417,Arun Trading Co.,80.2,29,150,Non-Exclusive
SIPT248,Jai Ram Steels,24.4,3,700,Non-Exclusive
SIPT255,Sri Sai Teja Cement Traders,77.7,8,200,Non-Exclusive
SIPT252,Chaitanya Steels,17.3,15,350,Non-Exclusive
SIPT135,Vasavi Sales Corporation,3.2,12,150,Non-Exclusive
SIPT026,Sri Rama Steel Agencies,33.7,29,1000,Non-Exclusive
SIPT162,Baheti Steel Industries,30.8,17,1000,Non-Exclusive
SIPT290,Sri Vaishnavi Steels,6.7,42,560,Non-Exclusive
SIPT191,Venkata Sai Traders,372.1,30,700,Non-Exclusive
SIPT347,Jai Bhavani Steel & Cement Traders,24.4,8,150,Non-Exclusive
SIPT360,Mallikarjuna Steels,42.6,19,1000,Non-Exclusive
SIPT369,SRI LAXMI STEEL TRADERS,75.1,17,650,Non-Exclusive
SIPT372,SSV ENGINEERING SOLUTIONS,64,4,250,Non-Exclusive
SIPT373,RUDRA STEEL AGENCY,30.9,45,560,Exclusive
SIPT380,Harinath Traders (New),10.6,1,215,Non-Exclusive
SIPT383,Disha Trading Company,30,13,650,Non-Exclusive
SIPT406,Sai Balaji Steel House,10,39,1000,Non-Exclusive
SIPT418,Vinayaka Steel House,93,4,1000,Non-Exclusive
SIPT422,MGS Steel Traders,510.3,5,500,Non-Exclusive
SIPT105,Medak Steel Corporation,510.3,24,350,Non-Exclusive
SIPT138,Janatha Building Materials,45.9,9,300,Non-Exclusive
SIPT180,Sri Laxmi Narasimha Steel Traders,75.1,15,190,Non-Exclusive
SIPT192,Vittal And Sons,102,5,1100,Non-Exclusive
SIPT213,Bhaargavi Steels,13.2,15,300,Non-Exclusive
SIPT288,Affan Traders,35,13,1200,Non-Exclusive
SIPT304,Natraj Enterprises,49.7,5,200,Non-Exclusive
SIPT317,Sri Srinivasa Traders (Ch),53,3,265,Non-Exclusive
SIPT325,Sai Steel,20,14,500,Non-Exclusive
SIPT342,GANESH STEEL AND CEMENT CHEVELLA,21.1,39,265,Non-Exclusive
SIPT393,Ayyappa Traders T,27.4,9,200,Non-Exclusive
SIPT395,Shivaram Traders,60.7,4,180,Non-Exclusive
SIPT035,Nagarjuna Steel Enterprises,16.6,42,800,Non-Exclusive
SIPT427,Mahalaxmi Steel Enterprises,74.5,5,380,Non-Exclusive
SIPT396,Sri Dattatreya Enterprises,61.7,1,300,Non-Exclusive
SIPT350,Baber & Co,30.8,8,600,Non-Exclusive
SIPT292,Mittal Steels,0,14,2000,Non-Exclusive
SIPT042,Baheti Steels,30.8,23,2000,Non-Exclusive
SIPT217,Baheti Steel Traders Llp,30.8,48,2800,Non-Exclusive
SIPT020,Srinivasa Steel Traders (C),333.4,26,600,Non-Exclusive
SIPT318,Sri Chaitanya Steels & Traders,61.7,10,500,Non-Exclusive
SIPT404,Sri Venkateswara Steel Mart,55.1,7,1000,Non-Exclusive
SIPT056,Mahalakshmi Iron & Hardware Merchants,15.7,48,400,Exclusive
SIPT067,Ramakrishna Agencies,30.7,26,400,Non-Exclusive
SIPT185,Ravi Steel Traders (K),21.1,17,0,Non-Exclusive
SIPT197,Anjaneya Iron & Hardware,132.8,21,150,Non-Exclusive
SIPT348,Bhanu Agencies,16.3,13,400,Non-Exclusive
SIPT235,Shankar Iron And Electrical Stores,60.7,8,150,Non-Exclusive
SIPT267,Sri Rajarajeshwara Steel Traders,18.6,21,150,Non-Exclusive
SIPT284,Mahalaxmi Iron And Hardware,74.5,5,150,Non-Exclusive
SIPT287,Nani Iron Hardware And Cement Agencies,49.7,7,250,Non-Exclusive
