,Dealer_Code,Oct_2324_sales,Nov_2324_sales,Dec_2324_sales,Jan_2324_sales,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target,Category_Overall,Dealer_Name,dealer_district,dealer_taluka,dealer_type,population,taluka_population,market_potential,MarketSizePer1000,AVG_SALES,sales_by_counter_3M,counter_market_ratio,NORM_counter_market_ratio,NORM_sales_by_counter_3M,AVG_SALES-N,MarketSizePer1000_N,Code,Dealer Name,CS,AP,MP,Status,MPA,SOB,AP_normalized,Score,Tier,Incentive_per_Ton_linear,Incentive_per_Ton_exponential,Final_Incentive,Perfomance_Bonus,Predicted_Incentive
0,SIPA006,81.0,68.0,20.0,1.0,1.0,1.0,31,1.0,1.0,30.0,1.0,1.0,1,90,90,90,65,65,HLLHLL,ANNNNN,Low Achievement,33,Consistently Weak Performer,Sri Vigneswara Traders,Anantapur,Hindupur,Non-Exclusive,6321948.0,51861.0,600.0,0.09490745573990801,25.5,0.005780346820809248,0.11,0.00012185189698218407,0.000391720237417224,0.10888888888888888,2.3696650855277497e-07,SIPA006,Sri Vigneswara Traders,120.6,10,300.0,Non-Exclusive,40.199999999999996,8.291873963515755,4.225352112676056,12.233586060308784,Tier 5,1333.0,952.0,952.0,0.0,31420.0
1,SIPA008,36.0,35.0,37.0,21.0,46.0,24.0,25,25.0,25.0,26.0,46.0,40.0,30,30,30,30,40,40,LLLLHH,NNNNAA,Low Achievement,41,Consistently Weak Performer,K.K.Traders,Anantapur,Kadiri,Non-Exclusive,6321948.0,35944.0,180.0,0.028472236721972407,30.833333333333332,0.2564102564102564,0.4222222222222222,0.0004687656057156564,0.017877730096714273,0.1325925925925926,7.087846095775561e-08,SIPA008,K.K.Traders,62.9,31,180.0,Non-Exclusive,34.94444444444444,49.2845786963434,14.084507042253522,25.296508853509682,Tier 2,1833.0,1611.0,1611.0,0.0,66050.0
2,SIPA010,25.0,30.0,30.0,1.0,15.0,1.0,30,1.0,19.0,10.0,1.0,27.0,25,25,30,30,25,25,HLHLLH,ANNNNA,Low Achievement,22,Fluctuating Performer,Sri Jayanthi Iron Mart,Anantapur,Rayadurg,Non-Exclusive,6321948.0,40942.0,180.0,0.028472236721972407,17.166666666666668,0.21774193548387097,0.3277777777777778,0.00036382729524467723,0.015179909066220203,0.07185185185185186,7.087846095775561e-08,SIPA010,Sri Jayanthi Iron Mart,53.4,14,180.0,Non-Exclusive,29.666666666666664,26.217228464419478,6.103286384976526,14.838750857203145,Tier 4,1500.0,1110.0,1110.0,0.0,24420.0
3,SIPA013,50.0,60.0,26.0,30.0,31.0,30.0,53,22.0,25.0,20.0,44.0,56.0,50,50,50,50,50,50,HLLLHH,ANNNNA,Low Achievement,44,Declining Performer,Srinivasa Iron Company,Anantapur,Tadipatri,Non-Exclusive,6321948.0,1.0,270.0,0.04270835508295861,40.5,0.14177215189873418,0.7111111111111111,0.0007897533789210045,0.009879630312760932,0.17555555555555555,1.0646875687097404e-07,SIPA013,Srinivasa Iron Company,189.0,37,250.0,Non-Exclusive,75.6,19.576719576719576,16.901408450704224,29.17618898576645,Tier 1,2000.0,2000.0,2000.0,0.0,88000.0
4,SIPA015,54.0,44.0,20.0,11.0,1.0,1.0,1,1.0,25.0,19.0,39.0,65.0,1,1,15,25,40,40,LLHHHH,AAANNA,Moderate Achievement,47,Consistently Strong Performer,Venkateshwara Hardware,Chittoor,Chittoor,Exclusive,6588204.0,59060.0,650.0,0.09866118292633319,31.666666666666668,0.6989247311827957,0.08,8.851855130316715e-05,0.04875119001787638,0.1362962962962963,2.463508265216732e-07,SIPA015,Venkateshwara Hardware,204.7,25,650.0,Exclusive,31.49230769230769,12.212994626282365,11.267605633802818,15.501623843999703,Tier 4,1500.0,1110.0,1110.0,0.0,52170.0
5,SIPA017,5.0,40.0,21.0,1.0,30.0,34.0,25,29.0,15.0,12.0,30.0,30.0,30,30,30,30,30,30,HHLLHH,NNNNAA,Low Achievement,27,Emerging Performer,Hari Hara Steels & Cements,Chittoor,Madanapally,Non-Exclusive,6588204.0,97284.0,650.0,0.09866118292633319,25.5,0.30927835051546393,0.08,8.851855130316715e-05,0.021566244433571486,0.10888888888888888,2.463508265216732e-07,SIPA017,Hari Hara Steels & Cements,59.4,24,650.0,Non-Exclusive,9.138461538461538,40.4040404040404,10.7981220657277,16.38737362793701,Tier 4,1500.0,1110.0,1110.0,0.0,29970.0
6,SIPA018,48.0,5.0,50.0,21.0,15.0,33.0,36,15.0,33.0,30.0,15.0,32.0,30,35,30,30,30,30,HLHHLH,ANAANA,Moderate Achievement,30,Consistently Strong Performer,Hari Hara Enterprises,Chittoor,Madanapally,Exclusive,6588204.0,97284.0,650.0,0.09866118292633319,27.666666666666668,0.4383561643835616,0.027692307692307693,3.0398871657701756e-05,0.030571777450805197,0.11851851851851852,2.463508265216732e-07,SIPA018,Hari Hara Enterprises,30.8,27,650.0,Exclusive,4.7384615384615385,87.66233766233766,12.206572769953052,25.80410350213167,Tier 2,1833.0,1611.0,1611.0,0.0,48330.0
7,SIPA019,20.0,56.0,21.0,16.0,20.0,31.0,61,20.0,21.0,46.0,41.0,25.0,30,40,45,50,50,50,HLLHHL,ANNNNN,Low Achievement,41,Fluctuating Performer,IKS Agencies,Chittoor,Nagari,Exclusive,6588204.0,33899.0,200.0,0.030357287054256367,28.833333333333332,0.36231884057971014,0.2,0.00022185193401923483,0.025266786534570623,0.1237037037037037,7.559108678988934e-08,SIPA019,Iks Agencies,24.4,36,200.0,Exclusive,12.2,100.0,16.431924882629108,32.29915492957747,Tier 1,2000.0,2000.0,2000.0,0.0,82000.0
8,SIPA020,20.0,33.0,1.0,25.0,20.0,40.0,40,40.0,15.0,20.0,31.0,30.0,30,30,30,30,30,30,HHLLHL,AANNAA,Moderate Achievement,32,Target-Oriented Performer,Bismilla Traders,Chittoor,Palamner,Exclusive,6588204.0,30307.0,200.0,0.030357287054256367,29.666666666666668,0.4411764705882353,0.215,0.00023851860685874328,0.03076854527545128,0.1274074074074074,7.559108678988934e-08,SIPA020,Bismilla Traders,17.6,29,200.0,Exclusive,8.8,100.0,13.145539906103288,29.647323943661974,Tier 1,2000.0,2000.0,2000.0,0.0,64000.0
9,SIPA021,1.0,1.0,19.0,1.0,30.0,21.0,1,1.0,1.0,1.0,29.0,20.0,20,20,25,25,18,18,LLLLHH,NNNNAA,Low Achievement,28,Consistently Weak Performer,Sri Vasavi Hardware,Chittoor,Piler,Non-Exclusive,6588204.0,73016.0,150.0,0.022767965290692273,7.5,0.17543859649122806,0.46,0.0005107409299040481,0.012228479191317176,0.028888888888888888,5.6617782375246674e-08,SIPA021,Sri Vasavi Hardware,45.5,8,150.0,Non-Exclusive,30.333333333333336,17.582417582417584,3.286384976525822,11.554981169065677,Tier 5,1333.0,952.0,952.0,0.0,26660.0
10,SIPA023,39.0,40.0,20.0,21.0,32.0,34.0,20,25.0,24.0,32.0,20.0,42.0,30,30,30,30,30,30,LLLHLH,NNNANA,Low Achievement,34,Consistently Weak Performer,Sri S.R.Agencies,Chittoor,Punganur,Non-Exclusive,6588204.0,54956.0,220.0,0.033393015759682,34.0,0.32061068702290074,0.3409090909090909,0.000378417648572193,0.022356881705166524,0.14666666666666667,8.31804085557464e-08,SIPA023,Sri S.R.Agencies,61.7,27,220.0,Non-Exclusive,28.045454545454547,43.76012965964343,12.206572769953052,21.685060502991426,Tier 3,1667.0,1323.0,1323.0,0.0,44980.0
11,SIPA024,30.0,21.0,30.0,1.0,15.0,1.0,38,1.0,10.0,1.0,25.0,25.0,25,25,30,30,25,25,HLLLHH,ANNNAA,Moderate Achievement,24,Declining Performer,Hari Priya Traders,Chittoor,Puttur,Exclusive,6588204.0,25074.0,150.0,0.022767965290692273,14.666666666666666,1.0,0.02666666666666667,2.925927009602596e-05,0.06975668424461097,0.060740740740740734,5.6617782375246674e-08,SIPA024,Hari Priya Traders,10.6,16,150.0,Exclusive,7.066666666666667,100.0,7.042253521126761,25.63868544600939,Tier 2,1833.0,1611.0,1611.0,0.0,38660.0
12,SIPA025,50.0,65.0,60.0,20.0,49.0,55.0,75,25.0,25.0,41.0,63.0,60.0,50,50,60,60,60,60,HLLLHH,ANNNAA,Moderate Achievement,60,Declining Performer,Mahesh Traders,Chittoor,Srikalahasti,Exclusive,6588204.0,57581.0,270.0,0.04098233752324609,46.666666666666664,0.594059405940594,0.1814814814814815,0.0002012757947111997,0.0414349199282959,0.20296296296296296,1.0215371297038905e-07,SIPA025,Mahesh Traders,42.6,48,270.0,Exclusive,15.777777777777779,100.0,22.065727699530516,36.39499217527386,Tier 1,2000.0,2000.0,2000.0,0.0,120000.0
13,SIPA026,258.0,215.0,121.0,91.0,121.0,229.0,173,52.0,137.0,107.0,132.0,192.0,170,200,150,130,210,210,HLHLLH,ANNNNN,Low Achievement,147,Fluctuating Performer,Shree Lakshmi Venkateswara Steels,Chittoor,Tirupathi,Non-Exclusive,6588204.0,237195.0,2500.0,0.37946608817820454,180.5,0.22482435597189696,0.1556,0.0001725185824142898,0.015674037140096842,0.7977777777777777,9.483630898634512e-07,SIPA026,Shree Lakshmi Venkateswara Steels,358.9,132,2500.0,Non-Exclusive,14.356,36.77904708832544,61.502347417840376,47.12841786836931,Tier 1,2000.0,2000.0,2000.0,0.0,294000.0
14,SIPA028,31.0,5.0,1.0,1.0,1.0,1.0,32,1.0,1.0,1.0,15.0,1.0,30,30,20,20,25,25,HLLLHL,ANNNNN,Low Achievement,27,Consistently Weak Performer,Shree Venkateswara Steels,Chittoor,Tirupathi,Non-Exclusive,6588204.0,237195.0,2500.0,0.37946608817820454,6.666666666666667,0.00847457627118644,0.0192,2.0962970727026194e-05,0.0005796919077165764,0.025185185185185185,9.483630898634512e-07,SIPA028,Shree Venkateswara Steels,49.1,8,2500.0,Non-Exclusive,1.9640000000000002,16.293279022403258,3.286384976525822,5.623286790396145,Tier 6,,,,,
15,SIPA030,57.0,84.0,86.0,71.66666666666667,77.0,101.0,87,25.0,29.0,48.0,81.0,79.0,75,75,80,80,80,80,HLLLHH,ANNNAN,Low Achievement,72,Declining Performer,Sri Satyanaryana Iron & Hardware Mart,Cuddapah,Badvel,Exclusive,4111686.0,21317.0,450.0,0.10944415502545671,62.5,0.7247706422018348,0.1711111111111111,0.00018975315669870002,0.0505544139652566,0.2733333333333334,2.733082567776267e-07,SIPA030,Sri Satyanaryana Iron & Hardware Mart,48.3,58,450.0,Exclusive,10.733333333333333,100.0,26.76056338028169,38.203004694835684,Tier 1,2000.0,2000.0,2000.0,0.0,144000.0
16,SIPA031,162.0,181.0,136.0,143.5,146.0,149.0,175,100.0,145.0,86.0,137.0,136.0,170,170,190,175,200,200,HLHLHH,ANNNNN,Low Achievement,123,Emerging Performer,Vadlaputi Iron & Steel Traders,Cuddapah,Cuddapah,Non-Exclusive,4111686.0,1.0,2100.0,0.510739390118798,145.5,0.2381786339754816,0.12285714285714286,0.00013613761655890562,0.01660574172881488,0.6422222222222221,1.276546344814089e-06,SIPA031,Vadlaputi Iron & Steel Traders,60.0,130,2100.0,Non-Exclusive,2.857142857142857,100.0,60.56338028169014,56.90945674044265,Tier 1,2000.0,2000.0,2000.0,0.0,246000.0
17,SIPA032,112.0,117.0,116.0,104.33333333333333,100.0,104.0,118,90.0,31.0,27.0,96.0,121.0,130,130,150,150,130,130,HLLLHH,NNNNNN,No Achievement,81,Declining Performer,Bharathi Steels Cement & Paints,Cuddapah,Cuddapah,Exclusive,4111686.0,1.0,2100.0,0.510739390118798,95.83333333333333,0.6612021857923497,0.056666666666666664,6.259261577504287e-05,0.04611935409017075,0.4214814814814815,1.276546344814089e-06,SIPA032,Bharathi Steels Cement & Paints,86.9,80,2100.0,Exclusive,4.1380952380952385,92.05983889528193,37.08920187793427,41.493107953435995,Tier 1,2000.0,2000.0,2000.0,0.0,162000.0
18,SIPA035,35.0,28.166666666666668,36.0,24.5,25.0,31.0,39,11.0,25.0,13.0,25.0,11.0,30,35,35,35,30,30,HLLLHL,ANNNNN,Low Achievement,19,Consistently Weak Performer,Pattupogula Steels,Cuddapah,Mydukur,Exclusive,4111686.0,105862.0,160.0,0.0389134773423846,23.527777777777782,0.2894736842105263,0.1875,0.0002079630399863111,0.020184507549751422,0.10012345679012348,9.698156251667264e-08,SIPA035,Pattupogula Steels,20.8,21,120.0,Exclusive,17.333333333333336,100.0,9.389671361502346,29.100469483568077,Tier 1,2000.0,2000.0,2000.0,0.0,38000.0
19,SIPA036,1.0,44.0,1.0,1.0,21.0,1.0,29,22.0,20.0,1.0,1.0,1.0,25,20,20,20,20,20,HHHLLL,AAANNN,Moderate Achievement,28,Momentum Gainer,S.R.Steels & Paints,Cuddapah,Porumamila,Exclusive,4111686.0,1.0,150.0,0.036481385008485565,14.833333333333334,0.125,0.006666666666666667,7.037039643348016e-06,0.008709466648163567,0.061481481481481484,9.090133168008803e-08,SIPA036,S.R.Steels & Paints,4.6,12,150.0,Exclusive,3.0666666666666664,100.0,5.164319248826291,23.71192488262911,Tier 2,1833.0,1611.0,1611.0,0.0,45110.0
20,SIPA037,152.0,152.0,92.0,62.0,107.0,110.0,115,92.0,89.0,71.0,101.0,31.0,120,120,150,150,150,150,HLLLHL,NNNNNN,No Achievement,67,Consistently Weak Performer,Sri Kanaka Durga Steels,Cuddapah,Proddatur,Non-Exclusive,4111686.0,96162.0,750.0,0.18240692504242786,104.33333333333333,0.08831908831908832,0.28,0.0003107408558299466,0.006150303680139926,0.45925925925925926,4.5571518187516534e-07,SIPA037,Sri Kanaka Durga Steels,186.9,83,750.0,Non-Exclusive,24.92,44.4087747458534,38.497652582159624,36.964346498466455,Tier 1,2000.0,2000.0,2000.0,0.0,134000.0
21,SIPA039,58.0,56.0,58.333333333333336,55.0,52.0,45.0,48,39.0,41.0,31.0,58.0,61.0,50,50,55,55,60,60,LLLLHH,NNNNNA,Low Achievement,55,Consistently Weak Performer,Sri Ganesh Iron & Hardware Marchant,Cuddapah,Pulivendula,Non-Exclusive,4111686.0,13178.0,600.0,0.14592554003394226,50.0,0.22021660649819494,0.2633333333333333,0.0002922223304527149,0.01535256252895284,0.21777777777777776,3.6451171932639596e-07,SIPA039,Sri Ganesh Iron & Hardware Marchant,119.4,46,600.0,Non-Exclusive,19.900000000000002,38.52596314907872,21.12676056338028,24.361248967843913,Tier 2,1833.0,1611.0,1611.0,0.0,88600.0
22,SIPA040,69.0,72.0,76.0,21.0,25.0,77.0,51,24.0,50.0,9.0,72.0,75.0,60,75,70,60,70,70,LLHLHH,NNNNAA,Low Achievement,68,Fluctuating Performer,Sri Balaji Traders,Cuddapah,Rajampet,Exclusive,4111686.0,56651.0,400.0,0.09728369335596153,61.166666666666664,0.7211538461538461,0.0825,9.12963301097519e-05,0.050302076439149704,0.2674074074074074,2.429071025947036e-07,SIPA040,Sri Balaji Traders,59.2,47,400.0,Exclusive,14.800000000000002,79.39189189189189,21.5962441314554,31.79612485725162,Tier 1,2000.0,2000.0,2000.0,0.0,136000.0
23,SIPA043,34.0,41.0,53.0,34.833333333333336,33.0,35.0,20,36.0,10.0,20.0,31.0,31.0,35,35,35,30,35,35,LLLLHH,NANNNN,Low Achievement,31,Consistently Weak Performer,Ashoka Hardwares,Cuddapah,Vempally,Non-Exclusive,4111686.0,97375.0,130.0,0.03161720034068749,31.166666666666668,0.5535714285714286,0.17692307692307693,0.0001962108988815295,0.03861014465458678,0.13407407407407407,7.874087000691879e-08,SIPA043,Ashoka Hardwares,27.4,25,130.0,Non-Exclusive,21.076923076923077,91.24087591240875,11.267605633802818,29.22412317814806,Tier 1,2000.0,2000.0,2000.0,0.0,62000.0
24,SIPA044,51.0,51.0,1.0,1.0,1.0,1.0,53,81.0,1.0,1.0,73.0,92.0,70,60,90,60,60,60,HHLLHH,NANNAA,Moderate Achievement,90,Emerging Performer,Jai Vasavi Steel Syndicate,East Godavari,Amalapuram,Exclusive,8274560.0,88462.0,1000.0,0.1208523474359966,46.166666666666664,0.1488673139158576,0.309,0.0003429630899863296,0.010374647340808226,0.20074074074074072,3.018287378125933e-07,SIPA044,Jai Vasavi Steel Syndicate,318.9,50,1000.0,Exclusive,31.889999999999997,15.678896205707119,23.004694835680752,23.316596142549876,Tier 2,1833.0,1611.0,1611.0,0.0,144990.0
25,SIPA049,51.0,59.0,1.0,1.0,1.0,1.0,95,97.5,1.0,1.0,1.0,1.0,70,90,120,100,90,90,HHLLLL,AANNNN,Low Achievement,101,Consistently Weak Performer,Jayalakshmi Steels,East Godavari,Rajahmundry,Exclusive,8274560.0,1.0,2000.0,0.2417046948719932,35.083333333333336,0.0024752475247524753,0.108,0.00011962967393691627,0.0001611292478123749,0.1514814814814815,6.039596064938679e-07,SIPA049,Jayalakshmi Steels,202.5,32,2000.0,Exclusive,10.125,15.802469135802468,14.553990610328638,13.917888193357676,Tier 4,1500.0,1110.0,1110.0,0.0,112110.0
